Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,3.0,3,0.0,0,0.0,0
05-Apr-20,7.0,10,0.0,0,0.0,0
06-Apr-20,3.0,13,0.0,0,0.0,0
07-Apr-20,0.0,13,0.0,0,0.0,0
08-Apr-20,0.0,13,0.0,0,0.0,0
09-Apr-20,0.0,13,0.0,0,0.0,0
10-Apr-20,1.0,14,0.0,0,0.0,0
11-Apr-20,1.0,15,0.0,0,0.0,0
12-Apr-20,4.0,19,0.0,0,0.0,0
13-Apr-20,0.0,19,0.0,0,0.0,0
14-Apr-20,1.0,20,0.0,0,0.0,0
15-Apr-20,0.0,20,0.0,0,0.0,0
16-Apr-20,0.0,20,0.0,0,0.0,0
17-Apr-20,0.0,20,0.0,0,0.0,0
18-Apr-20,0.0,20,0.0,0,0.0,0
19-Apr-20,6.0,26,0.0,0,0.0,0
20-Apr-20,0.0,26,0.0,0,0.0,0
21-Apr-20,0.0,26,0.0,0,0.0,0
22-Apr-20,0.0,26,0.0,0,0.0,0
23-Apr-20,0.0,26,0.0,0,0.0,0
24-Apr-20,0.0,26,0.0,0,0.0,0
25-Apr-20,0.0,26,0.0,0,0.0,0
26-Apr-20,0.0,26,0.0,0,0.0,0
27-Apr-20,0.0,26,0.0,0,0.0,0
28-Apr-20,0.0,26,0.0,0,18.0,18
29-Apr-20,0.0,26,0.0,0,0.0,18
30-Apr-20,1.0,27,0.0,0,3.0,21
01-May-20,1.0,28,0.0,0,5.0,26
02-May-20,2.0,30,0.0,0,0.0,26
03-May-20,9.0,39,0.0,0,0.0,26
04-May-20,122.0,161,0.0,0,0.0,26
05-May-20,68.0,229,0.0,0,0.0,26
06-May-20,95.0,324,0.0,0,0.0,26
07-May-20,32.0,356,0.0,0,0.0,26
08-May-20,34.0,390,0.0,0,0.0,26
09-May-20,3.0,393,0.0,0,1.0,27
10-May-20,1.0,394,0.0,0,0.0,27
11-May-20,0.0,394,1.0,1,0.0,27
12-May-20,1.0,395,0.0,1,1.0,28
13-May-20,17.0,412,0.0,1,0.0,28
14-May-20,0.0,412,0.0,1,0.0,28
15-May-20,4.0,416,0.0,1,9.0,37
