Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,1.0,1,0.0,0,0.0,0
10-Apr-20,1.0,2,0.0,0,0.0,0
11-Apr-20,0.0,2,0.0,0,0.0,0
12-Apr-20,3.0,5,0.0,0,0.0,0
13-Apr-20,0.0,5,0.0,0,0.0,0
14-Apr-20,0.0,5,0.0,0,0.0,0
15-Apr-20,8.0,13,0.0,0,0.0,0
16-Apr-20,1.0,14,0.0,0,0.0,0
17-Apr-20,0.0,14,0.0,0,0.0,0
18-Apr-20,0.0,14,0.0,0,0.0,0
19-Apr-20,0.0,14,0.0,0,0.0,0
20-Apr-20,0.0,14,0.0,0,0.0,0
21-Apr-20,0.0,14,0.0,0,0.0,0
22-Apr-20,0.0,14,0.0,0,0.0,0
23-Apr-20,0.0,14,0.0,0,0.0,0
24-Apr-20,0.0,14,0.0,0,2.0,2
25-Apr-20,0.0,14,0.0,0,0.0,2
26-Apr-20,0.0,14,0.0,0,0.0,2
27-Apr-20,0.0,14,0.0,0,3.0,5
28-Apr-20,0.0,14,0.0,0,0.0,5
29-Apr-20,0.0,14,0.0,0,0.0,5
30-Apr-20,0.0,14,0.0,0,0.0,5
01-May-20,0.0,14,0.0,0,8.0,13
02-May-20,0.0,14,0.0,0,1.0,14
03-May-20,0.0,14,0.0,0,0.0,14
04-May-20,0.0,14,0.0,0,0.0,14
05-May-20,0.0,14,0.0,0,0.0,14
06-May-20,1.0,15,0.0,0,0.0,14
07-May-20,1.0,16,0.0,0,0.0,14
08-May-20,3.0,19,0.0,0,0.0,14
09-May-20,4.0,23,0.0,0,0.0,14
10-May-20,0.0,23,0.0,0,0.0,14
11-May-20,0.0,23,0.0,0,0.0,14
12-May-20,0.0,23,0.0,0,0.0,14
13-May-20,0.0,23,0.0,0,0.0,14
14-May-20,0.0,23,0.0,0,0.0,14
15-May-20,0.0,23,0.0,0,0.0,14
