Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,1,1,0,0,0,0
05-Apr-20,0,1,0,0,0,0
06-Apr-20,0,1,0,0,0,0
07-Apr-20,0,1,0,0,0,0
08-Apr-20,0,1,0,0,0,0
09-Apr-20,0,1,0,0,0,0
10-Apr-20,0,1,0,0,0,0
11-Apr-20,0,1,0,0,0,0
12-Apr-20,0,1,0,0,0,0
13-Apr-20,0,1,0,0,0,0
14-Apr-20,0,1,0,0,0,0
15-Apr-20,0,1,0,0,0,0
16-Apr-20,0,1,0,0,0,0
17-Apr-20,0,1,0,0,0,0
18-Apr-20,3,4,0,0,0,0
19-Apr-20,0,4,0,0,0,0
20-Apr-20,0,4,0,0,0,0
21-Apr-20,1,5,0,0,0,0
22-Apr-20,0,5,0,0,0,0
23-Apr-20,0,5,0,0,0,0
24-Apr-20,0,5,0,0,0,0
25-Apr-20,2,7,0,0,0,0
26-Apr-20,0,7,0,0,0,0
27-Apr-20,0,7,0,0,0,0
28-Apr-20,0,7,0,0,1,1
29-Apr-20,0,7,0,0,0,1
30-Apr-20,2,9,0,0,0,1
01-May-20,0,9,0,0,0,1
02-May-20,2,11,0,0,2,3
03-May-20,0,11,0,0,0,3
04-May-20,25,36,0,0,0,3
05-May-20,1,37,0,0,1,4
06-May-20,3,40,0,0,0,4
07-May-20,33,73,0,0,0,4
08-May-20,0,73,0,0,1,5
09-May-20,31,104,0,0,0,5
10-May-20,9,113,0,0,0,5
11-May-20,1,114,0,0,2,7
12-May-20,25,139,0,0,1,8
13-May-20,0,139,0,0,0,8
14-May-20,0,139,0,0,5,13
15-May-20,0,139,0,0,17,30
