Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,1.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,2.0,3,0.0,0,0.0,0
29-Mar-20,0.0,3,0.0,0,0.0,0
30-Mar-20,0.0,3,0.0,0,0.0,0
31-Mar-20,8.0,11,0.0,0,0.0,0
01-Apr-20,4.0,15,0.0,0,0.0,0
02-Apr-20,2.0,17,0.0,0,0.0,0
03-Apr-20,0.0,17,0.0,0,0.0,0
04-Apr-20,4.0,21,0.0,0,0.0,0
05-Apr-20,2.0,23,0.0,0,0.0,0
06-Apr-20,1.0,24,0.0,0,0.0,0
07-Apr-20,0.0,24,0.0,0,0.0,0
08-Apr-20,4.0,28,0.0,0,0.0,0
09-Apr-20,11.0,39,0.0,0,0.0,0
10-Apr-20,2.0,41,0.0,0,0.0,0
11-Apr-20,1.0,42,0.0,0,0.0,0
12-Apr-20,0.0,42,0.0,0,0.0,0
13-Apr-20,0.0,42,0.0,0,0.0,0
14-Apr-20,0.0,42,0.0,0,0.0,0
15-Apr-20,0.0,42,0.0,0,0.0,0
16-Apr-20,0.0,42,0.0,0,0.0,0
17-Apr-20,0.0,42,0.0,0,0.0,0
18-Apr-20,2.0,44,0.0,0,0.0,0
19-Apr-20,0.0,44,0.0,0,0.0,0
20-Apr-20,0.0,44,0.0,0,0.0,0
21-Apr-20,0.0,44,0.0,0,1.0,1
22-Apr-20,4.0,48,0.0,0,0.0,1
23-Apr-20,2.0,50,0.0,0,0.0,1
24-Apr-20,3.0,53,0.0,0,0.0,1
25-Apr-20,0.0,53,0.0,0,11.0,12
26-Apr-20,3.0,56,0.0,0,11.0,23
27-Apr-20,0.0,56,0.0,0,0.0,23
28-Apr-20,0.0,56,0.0,0,0.0,23
29-Apr-20,4.0,60,0.0,0,0.0,23
30-Apr-20,0.0,60,0.0,0,0.0,23
01-May-20,0.0,60,0.0,0,0.0,23
02-May-20,1.0,61,0.0,0,19.0,42
03-May-20,0.0,61,0.0,0,0.0,42
04-May-20,0.0,61,0.0,0,8.0,50
05-May-20,0.0,61,0.0,0,0.0,50
06-May-20,0.0,61,0.0,0,2.0,52
07-May-20,0.0,61,0.0,0,0.0,52
08-May-20,0.0,61,0.0,0,8.0,60
09-May-20,0.0,61,0.0,0,0.0,60
10-May-20,2.0,63,0.0,0,0.0,60
11-May-20,0.0,63,0.0,0,2.0,62
12-May-20,0.0,63,0.0,0,0.0,62
13-May-20,0.0,63,0.0,0,-2.0,60
14-May-20,0.0,63,0.0,0,0.0,60
15-May-20,0.0,63,0.0,0,0.0,60
