Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,0.0,0,0.0,0,0.0,0
10-Apr-20,0.0,0,0.0,0,0.0,0
11-Apr-20,0.0,0,0.0,0,0.0,0
12-Apr-20,0.0,0,0.0,0,0.0,0
13-Apr-20,0.0,0,0.0,0,0.0,0
14-Apr-20,0.0,0,0.0,0,0.0,0
15-Apr-20,0.0,0,0.0,0,0.0,0
16-Apr-20,0.0,0,0.0,0,0.0,0
17-Apr-20,0.0,0,0.0,0,0.0,0
18-Apr-20,0.0,0,0.0,0,0.0,0
19-Apr-20,0.0,0,0.0,0,0.0,0
20-Apr-20,0.0,0,0.0,0,0.0,0
21-Apr-20,0.0,0,0.0,0,0.0,0
22-Apr-20,0.0,0,0.0,0,0.0,0
23-Apr-20,0.0,0,0.0,0,0.0,0
24-Apr-20,0.0,0,0.0,0,0.0,0
25-Apr-20,0.0,0,0.0,0,0.0,0
26-Apr-20,0.0,0,0.0,0,0.0,0
27-Apr-20,1.0,1,0.0,0,0.0,0
28-Apr-20,4.0,5,0.0,0,0.0,0
29-Apr-20,1.0,6,0.0,0,0.0,0
30-Apr-20,18.0,24,0.0,0,0.0,0
01-May-20,4.0,28,0.0,0,0.0,0
02-May-20,12.0,40,0.0,0,0.0,0
03-May-20,2.0,42,0.0,0,0.0,0
04-May-20,14.0,56,0.0,0,0.0,0
05-May-20,8.0,64,0.0,0,0.0,0
06-May-20,6.0,70,0.0,0,0.0,0
07-May-20,3.0,73,0.0,0,0.0,0
08-May-20,1.0,74,0.0,0,0.0,0
09-May-20,0.0,74,0.0,0,10.0,10
10-May-20,0.0,74,0.0,0,0.0,10
11-May-20,9.0,83,0.0,0,0.0,10
12-May-20,0.0,83,0.0,0,0.0,10
13-May-20,1.0,84,0.0,0,14.0,24
14-May-20,3.0,87,0.0,0,0.0,24
15-May-20,0.0,87,0.0,0,0.0,24
