Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,0.0,0,0.0,0,0.0,0
10-Apr-20,0.0,0,0.0,0,0.0,0
11-Apr-20,0.0,0,0.0,0,0.0,0
12-Apr-20,0.0,0,0.0,0,0.0,0
13-Apr-20,0.0,0,0.0,0,0.0,0
14-Apr-20,0.0,0,0.0,0,0.0,0
15-Apr-20,0.0,0,0.0,0,0.0,0
16-Apr-20,0.0,0,0.0,0,0.0,0
17-Apr-20,0.0,0,0.0,0,0.0,0
18-Apr-20,0.0,0,0.0,0,0.0,0
19-Apr-20,0.0,0,0.0,0,0.0,0
20-Apr-20,0.0,0,0.0,0,0.0,0
21-Apr-20,0.0,0,0.0,0,0.0,0
22-Apr-20,0.0,0,0.0,0,0.0,0
23-Apr-20,0.0,0,0.0,0,0.0,0
24-Apr-20,0.0,0,0.0,0,0.0,0
25-Apr-20,1.0,1,0.0,0,0.0,0
26-Apr-20,0.0,1,0.0,0,0.0,0
27-Apr-20,7.0,8,0.0,0,0.0,0
28-Apr-20,0.0,8,0.0,0,0.0,0
29-Apr-20,8.0,16,0.0,0,0.0,0
30-Apr-20,3.0,19,1.0,1,0.0,0
01-May-20,7.0,26,0.0,1,0.0,0
02-May-20,1.0,27,0.0,1,0.0,0
03-May-20,40.0,67,0.0,1,0.0,0
04-May-20,23.0,90,0.0,1,0.0,0
05-May-20,9.0,99,0.0,1,0.0,0
06-May-20,1.0,100,0.0,1,0.0,0
07-May-20,16.0,116,1.0,2,0.0,0
08-May-20,10.0,126,0.0,2,0.0,0
09-May-20,10.0,136,0.0,2,0.0,0
10-May-20,0.0,136,0.0,2,6.0,6
11-May-20,5.0,141,0.0,2,0.0,6
12-May-20,1.0,142,0.0,2,12.0,18
13-May-20,0.0,142,0.0,2,0.0,18
14-May-20,0.0,142,0.0,2,0.0,18
15-May-20,9.0,151,0.0,2,35.0,53
