Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,2,0,0,0,1
15-Mar-20,0,2,0,0,0,1
16-Mar-20,0,2,0,0,0,1
17-Mar-20,0,2,0,0,0,1
18-Mar-20,0,2,0,0,0,1
19-Mar-20,0,2,0,0,0,1
20-Mar-20,0,2,0,0,0,1
21-Mar-20,0,2,0,0,0,1
22-Mar-20,0,2,0,0,0,1
23-Mar-20,1,3,0,0,0,1
24-Mar-20,0,3,0,0,1,2
25-Mar-20,0,3,0,0,0,2
26-Mar-20,2,5,0,0,0,2
27-Mar-20,1,6,0,0,0,2
28-Mar-20,0,6,0,0,0,2
29-Mar-20,1,7,0,0,0,2
30-Mar-20,0,7,0,0,0,2
31-Mar-20,1,8,0,0,0,2
01-Apr-20,2,10,0,0,0,2
02-Apr-20,1,11,0,0,0,2
03-Apr-20,1,12,0,0,0,2
04-Apr-20,0,12,0,0,0,2
05-Apr-20,0,12,0,0,0,2
06-Apr-20,0,12,0,0,0,2
07-Apr-20,0,12,0,0,0,2
08-Apr-20,1,13,0,0,0,2
09-Apr-20,0,13,0,0,0,2
10-Apr-20,0,13,0,0,0,2
11-Apr-20,0,13,0,0,0,2
12-Apr-20,0,13,0,0,0,2
13-Apr-20,0,13,0,0,0,2
14-Apr-20,0,13,0,0,0,2
15-Apr-20,0,13,0,0,0,2
16-Apr-20,0,13,0,0,0,2
17-Apr-20,0,13,0,0,0,2
18-Apr-20,0,13,0,0,0,2
19-Apr-20,0,13,0,0,0,2
